data;cena;miejsce
02_01_2022;79.88;Allegro
04_01_2022;229.98;Allegro
05_01_2022;3.00;Inne
09_01_2022;14.31;PKP
10_01_2022;15.02;Biedronka
10_01_2022;66.85;Aldi
11_01_2022;100.00;Allegro
11_01_2022;143.83;Allegro
11_01_2022;31.32;Apteka
11_01_2022;62.47;Rossmann
11_01_2022;48.98;Biedronka
11_01_2022;16.46;PoloMarket
12_01_2022;16.22;Aldi
14_01_2022;57.71;Biedronka
14_01_2022;53.81;Aldi
15_01_2022;36.90;Lidl
15_01_2022;11.07;PoloMarket
16_01_2022;8.99;Allegro
17_01_2022;55.54;Biedronka
18_01_2022;800.00;Mieszkanie
19_01_2022;1.99;Zabka
20_01_2022;45.45;Biedronka
21_01_2022;14.31;PKP
22_01_2022;152.03;Telefon
23_01_2022;73.80;Prˆd
24_01_2022;11.67;Intermarche
24_01_2022;14.31;PKP
25_01_2022;25.21;Biedronka
27_01_2022;21.44;Aldi
27_01_2022;31.32;Biedronka
29_01_2022;14.31;PKP
05_02_2022;3.00;Inne
05_02_2022;8.87;Intermarche
05_02_2022;200.00;Inne
05_02_2022;32.92;Apteka
16_02_2022;800.00;Mieszkanie
16_02_2022;56.00;Allegro
16_02_2022;167.99;Allegro
16_02_2022;8.99;Allegro
20_02_2022;151.94;Telefon
27_02_2022;14.31;PKP
27_02_2022;3.59;Amiculus
28_02_2022;37.56;Biedronka
28_02_2022;16.10;Biedronka
01_03_2022;66.93;Aldi
02_03_2022;26.94;Biedronka
04_03_2022;62.38;Biedronka
04_03_2022;20.64;Aldi
04_03_2022;50.00;Allegro
05_03_2022;3.00;Inne
06_03_2022;41.75;Allegro
07_03_2022;65.26;Biedronka
07_03_2022;50.03;Aldi
09_03_2022;11.46;Aldi
10_03_2022;9.70;PoloMarket
10_03_2022;25.28;Biedronka
11_03_2022;59.30;Aldi
11_03_2022;16.70;Inne
11_03_2022;27.87;Biedronka
12_03_2022;50.63;Biedronka
14_03_2022;38.38;Biedronka
14_03_2022;14.72;Biedronka
16_03_2022;51.77;Biedronka
16_03_2022;8.99;Allegro
17_03_2022;33.50;Aldi
17_03_2022;800.00;Mieszkanie
17_03_2022;14.31;PKP
18_03_2022;14.77;Intermarche
21_03_2022;151.94;Telefon
21_03_2022;54.60;Prˆd
21_03_2022;14.31;PKP
22_03_2022;1.99;Zabka
23_03_2022;52.42;Biedronka
24_03_2022;39.52;Biedronka
25_03_2022;25.01;PoloMarket
26_03_2022;40.08;Aldi
26_03_2022;50.24;Biedronka
28_03_2022;20.91;Biedronka
29_03_2022;85.56;Biedronka
29_03_2022;18.87;PoloMarket
30_03_2022;15.94;Aldi
31_03_2022;14.31;PKP
03_04_2022;14.31;PKP
04_04_2022;30.52;Biedronka
05_04_2022;3.00;Inne
05_04_2022;41.38;Biedronka
06_04_2022;62.97;Aldi
07_04_2022;13.14;Biedronka
08_04_2022;9.70;PoloMarket
08_04_2022;22.38;Biedronka
08_04_2022;18.68;Biedronka
09_04_2022;60.04;Aldi
09_04_2022;22.17;Biedronka
11_04_2022;800.00;Mieszkanie
11_04_2022;16.89;Biedronka
12_04_2022;79.09;Biedronka
13_04_2022;12.83;Biedronka
13_04_2022;8.16;Aldi
